Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Jayson Tatum,BOS,NYK,W,30.3,14,18,0.778,8,11,0.727,1,2,0.5,0,4,4,10,1,1,1,1,37,38.1,10/22/24
Anthony Davis,LAL,MIN,W,37.58,11,23,0.478,1,3,0.333,13,15,0.867,3,13,16,4,1,3,1,1,36,34,10/22/24
Derrick White,BOS,NYK,W,26.63,8,13,0.615,6,10,0.6,2,2,1,0,3,3,4,1,0,0,1,24,22.4,10/22/24
Jrue Holiday,BOS,NYK,W,30.52,7,9,0.778,4,6,0.667,0,0,0,2,2,4,4,1,0,0,2,18,19.5,10/22/24
Miles McBride,NYK,BOS,L,25.85,8,10,0.8,4,5,0.8,2,3,0.667,0,0,0,2,0,0,1,1,22,17.8,10/22/24
Rui Hachimura,LAL,MIN,W,35.08,7,14,0.5,1,4,0.25,3,4,0.75,3,2,5,1,2,1,0,2,18,15.9,10/22/24
Jaylen Brown,BOS,NYK,W,29.9,7,18,0.389,5,9,0.556,4,4,1,2,5,7,1,1,0,1,3,23,15.6,10/22/24
Rudy Gobert,MIN,LAL,L,35.33,5,8,0.625,0,0,0,3,4,0.75,3,11,14,2,0,1,1,4,13,13.9,10/22/24
Julius Randle,MIN,LAL,L,34.32,5,10,0.5,1,3,0.333,5,7,0.714,3,6,9,4,0,0,2,3,16,13.7,10/22/24
Al Horford,BOS,NYK,W,26.08,4,7,0.571,3,5,0.6,0,0,0,0,3,3,5,1,1,0,2,11,13,10/22/24
Jalen Brunson,NYK,BOS,L,24.5,9,14,0.643,1,2,0.5,3,3,1,0,1,1,2,0,0,4,3,22,12.3,10/22/24
Anthony Edwards,MIN,LAL,L,41.07,10,25,0.4,5,13,0.385,2,3,0.667,0,6,6,3,0,0,4,3,27,11.8,10/22/24
Karl-Anthony Towns,NYK,BOS,L,23.62,5,9,0.556,1,2,0.5,1,1,1,0,7,7,3,0,0,0,1,12,11.5,10/22/24
Austin Reaves,LAL,MIN,W,36.03,6,14,0.429,0,5,0,0,1,0,4,5,9,4,1,1,0,4,12,11.4,10/22/24
Josh Hart,NYK,BOS,L,24.5,4,6,0.667,0,2,0,4,6,0.667,1,3,4,3,0,0,1,0,12,11.3,10/22/24
Nickeil Alexander-Walker,MIN,LAL,L,28.37,5,7,0.714,3,4,0.75,1,2,0.5,2,3,5,0,0,0,2,0,14,11,10/22/24
LeBron James,LAL,MIN,W,34.65,7,16,0.438,1,4,0.25,1,1,1,0,5,5,4,0,2,2,3,16,10.1,10/22/24
Jaxson Hayes,LAL,MIN,W,15.33,4,5,0.8,0,0,0,2,2,1,3,1,4,0,0,1,0,3,10,10,10/22/24
Mikal Bridges,NYK,BOS,L,34.62,7,13,0.538,2,7,0.286,0,1,0,0,0,0,2,0,0,1,0,16,9.7,10/22/24
Cameron Payne,NYK,BOS,L,20.72,5,10,0.5,1,4,0.25,0,0,0,1,2,3,4,1,0,1,3,11,8.9,10/22/24
Naz Reid,MIN,LAL,L,26.35,3,8,0.375,2,4,0.5,4,4,1,1,3,4,1,0,0,1,3,12,7.7,10/22/24
Jericho Sims,NYK,BOS,L,24.38,2,3,0.667,0,0,0,0,0,0,3,6,9,1,0,2,1,0,4,7.7,10/22/24
Luke Kornet,BOS,NYK,W,19.32,2,3,0.667,0,0,0,0,0,0,2,1,3,1,1,1,0,0,4,6.8,10/22/24
Sam Hauser,BOS,NYK,W,24.17,4,10,0.4,2,7,0.286,0,0,0,1,4,5,1,0,0,0,2,10,6.4,10/22/24
Donte DiVincenzo,MIN,LAL,L,31.55,3,11,0.273,2,8,0.25,2,4,0.5,1,2,3,3,2,0,1,2,10,6.3,10/22/24
D'Angelo Russell,LAL,MIN,W,34.22,4,12,0.333,1,7,0.143,0,0,0,0,1,1,5,2,0,1,2,9,6.2,10/22/24
Dalton Knecht,LAL,MIN,W,15.78,2,4,0.5,1,3,0.333,0,0,0,0,1,1,2,1,0,1,1,5,4.3,10/22/24
OG Anunoby,NYK,BOS,L,34.17,1,7,0.143,0,4,0,2,2,1,0,5,5,3,1,0,0,3,4,2.9,10/22/24
Xavier Tillman,BOS,NYK,W,17.7,1,6,0.167,0,3,0,0,0,0,3,4,7,2,0,0,0,1,2,2.5,10/22/24
Ariel Hukporti,NYK,BOS,L,6.08,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,1.9,10/22/24
Mike Conley,MIN,LAL,L,20.22,1,7,0.143,0,5,0,3,3,1,2,2,4,2,1,0,3,1,5,1.5,10/22/24
Pacome Dadiet,NYK,BOS,L,13.38,1,3,0.333,1,2,0.5,0,0,0,0,1,1,0,0,0,0,1,3,1.2,10/22/24
